2021/3/29,"11:54:27""",,0.98,,0.16,,128.54,,23.06
2021/3/29,"11:54:29""",,0.98,,0.16,,143.88,,23.04
2021/3/29,"11:54:30""",,0.98,,0.16,,130.82,,23.05
2021/3/29,"11:54:31""",,0.98,,0.16,,147.26,,23.07
2021/3/29,"11:54:32""",,0.98,,0.16,,126.96,,23.06
2021/3/29,"11:54:33""",,0.98,,0.16,,135.37,,23.06
2021/3/29,"11:54:34""",,0.98,,0.16,,137.85,,23.06
2021/3/29,"11:54:35""",,0.98,,0.16,,140.84,,23.07
2021/3/29,"11:54:36""",,0.98,,0.17,,130.56,,23.06
2021/3/29,"11:54:37""",,0.98,,0.17,,123.91,,23.06
2021/3/29,"11:54:38""",,0.98,,0.17,,131.68,,23.05
2021/3/29,"11:54:39""",,0.98,,0.17,,142.56,,23.08
2021/3/29,"11:54:40""",,0.98,,0.17,,136.54,,23.08
2021/3/29,"11:54:41""",,0.98,,0.17,,132.56,,23.07
2021/3/29,"11:54:42""",,0.98,,0.17,,140.44,,23.07
2021/3/29,"11:54:43""",,0.98,,0.17,,130.44,,23.08
2021/3/29,"11:54:44""",,0.98,,0.17,,136.81,,23.08
2021/3/29,"11:54:45""",,0.98,,0.17,,130.21,,23.07
2021/3/29,"11:54:46""",,0.98,,0.17,,133.73,,23.07
