2021/1/29	"10:53:57"""		-0.54		0.06		54.84		21.24
2021/1/29	"10:53:58"""		-0.54		0.06		72.35		21.23
2021/1/29	"10:53:59"""		-0.54		0.06		56.92		21.24
2021/1/29	"10:53:59"""		-0.54		0.06		73.45		21.26
2021/1/29	"10:54:0"""		-0.54		0.06		66.88		21.27
2021/1/29	"10:54:1"""		-0.54		0.06		70.19		21.26
2021/1/29	"10:54:1"""		-0.54		0.06		76.2		21.25
2021/1/29	"10:54:2"""		-0.54		0.06		68.47		21.26
2021/1/29	"10:54:3"""		-0.54		0.06		47.43		21.27
2021/1/29	"10:54:4"""		-0.54		0.06		86.14		21.25
2021/1/29	"10:54:4"""		-0.54		0.06		65.85		21.24
2021/1/29	"10:54:5"""		-0.54		0.06		68.11		21.25
2021/1/29	"10:54:6"""		-0.54		0.06		63.56		21.24
2021/1/29	"10:54:6"""		-0.54		0.06		67.23		21.25
2021/1/29	"10:54:7"""		-0.54		0.06		83.05		21.25
2021/1/29	"10:54:8"""		-0.54		0.06		82.66		21.26
2021/1/29	"10:54:8"""		-0.54		0.06		43.51		21.25
2021/1/29	"10:54:9"""		-0.54		0.06		56.87		21.25
2021/1/29	"10:54:9"""		-0.54		0.06		101.06		21.26
2021/1/29	"10:54:10"""		-0.54		0.06		38.89		21.26
2021/1/29	"10:54:10"""		-0.54		0.06		53.15		21.25
2021/1/29	"10:54:11"""		-0.54		0.06		62.2		21.26
2021/1/29	"10:54:11"""		-0.54		0.06		51.38		21.26
2021/1/29	"10:54:12"""		-0.54		0.06		55.58		21.26
2021/1/29	"10:54:12"""		-0.54		0.06		55.48		21.26
2021/1/29	"10:54:13"""		-0.54		0.06		56.47		21.26
2021/1/29	"10:54:13"""		-0.54		0.07		40.54		21.26
2021/1/29	"10:54:14"""		-0.54		0.07		56.61		21.26
2021/1/29	"10:54:15"""		-0.54		0.07		45.4		21.26
2021/1/29	"10:54:15"""		-0.54		0.07		45.36		21.27
2021/1/29	"10:54:16"""		-0.54		0.07		53.07		21.26
2021/1/29	"10:54:17"""		-0.54		0.07		75.23		21.27
2021/1/29	"10:54:17"""		-0.54		0.07		54.87		21.27
2021/1/29	"10:54:18"""		-0.54		0.07		50.05		21.26
2021/1/29	"10:54:18"""		-0.54		0.07		98.91		21.26
2021/1/29	"10:54:19"""		-0.54		0.07		75.41		21.27
2021/1/29	"10:54:20"""		-0.54		0.07		79.27		21.25
2021/1/29	"10:54:20"""		-0.54		0.07		85.18		21.27
2021/1/29	"10:54:21"""		-0.54		0.07		53.07		21.26
